code;libellé_fr;libellé_en;informations de calibration_fr;informations de calibration_en;fabricant_fr;fabricant_en;description_fr;description_en
LI-7700;Analyseur de gaz CH4;Open Path CH4 Gas analyzer;;;LICOR;LICOR;Analyseur de gaz CH4;Open path methane analyzer designed to measure atmospheric CH4 flux
HS-50;Anémomètre 3D;Anenometer 3D;;;Gill Instruments Ltd.;Gill Instruments Ltd.;Anémomètre 3D;3-axis sonic anemometer monitor wind speeds of 0-45m/s and 0-359° wind direction with fast sampling rate of 50Hz
LI-7200/RS;Analyseur de gaz CO2 / H2O;Enclosed CO2/H2O Gas Analyzer;;;LICOR;LICOR;Analyseur de gaz CO2 / H2O;Closed path, non-dispersive infrared CO2/H2O analyzer designed for use in eddy-covariance flux systems
LI-7200;Analyseur de gaz CO2 / H2O;Enclosed CO2/H2O Gas Analyzer;;;LICOR;LICOR;Analyseur de gaz CO2 / H2O;Closed path, non-dispersive infrared CO2/H2O analyzer designed for use in eddy-covariance flux systems
HFP01SC;Fluxmètre auto-étalonné;Soil heat flux sensor;;;Huskeflux;Huskeflux;Fluxmètre auto-étalonné;Measures soil heat flux in W/m²
CNR4;Capteur de rayonnement net;Net radiometer;;;Kipp-Zonen;Kipp-Zonen;Capteur de rayonnement net destiné qui mesure l'équilibre énergétique entre le rayonnement entrant et sortant;Research-grade net radiometer that measures the energy balance between incoming and outgoing radiation
ARG100;Pluviomètre à auget basculant;Tipping bucket raingauge;;;Campbell Scientific;Campbell Scientific;Pluviomètre à auget basculant;Tipping bucket raingauge
CS100;Baromètre;Barometer;;;Setra;Setra;Mesure la pression barométrique dans la gamme de mesure de 600 à 1100 mbar;Capacitive pressure transducer for barometric pressure measurements over the 600 to 1100 millibar range
SKP215;Capteur de rayonnement;Quantum sensor;;;SKP215;SKP215;Mesure les quanta incidents entre 400 et 700nm. Le rayonnement mesuré dans cette bande de fréquences est utilisé pour calculer le Rayonnement Photosynthétique Actif;Measures incident quanta between 400 and 700nm. Light in this waveband is used for photosynthesis and is often referred to as ‘PAR’ (Photosynthetically Active Radiation)
HMP155A;Capteur de température et d’humidité;Temperature and relative humidity probe;;;Vaisala;Vaisala;Suit l'humidité relative de 0% à 100% RH et la température de -80°C à +60°C;Probe monitors relative humidity for the range of 0 to 100% RH and temperature for the range of –80 to 60 °C
CS650;Sonde multiparamètre du sol;Sonde multiparamètre du sol;;;Campbell Scientific;Campbell Scientific;Sonde multiparamètres pour mesurer la teneur en eau volumétrique, la conductivité électrique et la température du sol;Multiparameter smart sensors to monitor soil volumetric water content, bulk electrical conductivity, and temperature
109;Sonde de température;Temperature probe;;;Campbell Scientific;Campbell Scientific;Sonde pour mesurer la température de l’air, du sol ou de l’eau;Probe to measure air, soil, and water temperature
WindSonic;Anémomètre 2D;Anenometer 2D;;;Gill Instruments Ltd.;Gill Instruments Ltd.;Mesure la vitesse et la direction du vent;Ultrasonic wind sensor provides speed and direction wind
CS451;Piézomètre;Piezometer;;;Campbell Scientific;Campbell Scientific;Capteur de pression pour mesurer la température et le niveau de l’eau;Submersible pressure transducer provides pressure and temperature measurements
Orpheus mini;Piézomètre;Piezometer;;;OTT;OTT;Capteur de pression pour mesurer la température et le niveau de l’eau;Submersible pressure transducer provides pressure and temperature measurements
ML2x;Capteur d’humidité;Soil moisture meter;;;DeltaT;DeltaT;Suit l'humidité relative de 0% à 100% RH et la température de -80°C à +60°C;Probe monitors relative humidity for the range of 0 to 100%
05103;Moniteur de direction et vitesse du vent;Wind monitor for wind and speed;;;R.M. YOUNG;R.M. YOUNG;Moniteur de vent léger et solide pour mesurer la vitesse et la direction du vent dans des environnements difficiles;Wind Monitor is lightweight and sturdy for measuring wind speed and direction in your harsh environments
HMP45C;Capteur de température et d’humidité;Temperature and relative humidity probe;;;Vaisala;Vaisala;Suit l'humidité relative de 0% à 100% RH et la température de -80°C à +60°C;Probe monitors relative humidity for the range of 0 to 100% RH and temperature for the range of –80 to 60 °C
CNR1;Capteur de rayonnement net;Net radiometer;;;Kipp-Zonen;Kipp-Zonen;Capteur de rayonnement net destiné qui mesure l'équilibre énergétique entre le rayonnement entrant et sortant;Research-grade net radiometer that measures the energy balance between incoming and outgoing radiation
SBS500H;Pluviomètre à auget basculant chauffant;Tipping bucket raingauge (heated version);;;Campbell Scientific;Campbell Scientific;Pluviomètre à auget basculant chauffant;Tipping bucket raingauge
SP-LITE;Capteur de rayonnement net;Net radiometer;;;Kipp-Zonen;Kipp-Zonen;Mesure le rayonnement solaire entrant avec un détecteur à photodiode;Measures incoming solar radiation (sun plus sky radiation) with a photodiode detector
GMP343;Sonde CO2;CO2 Probe;;;Vaisala;Vaisala;Mesure du CO2 mono faisceau à double longueur d'onde sans pièces mobiles;Dual-wavelength CO2 measurement with no moving parts